,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
412,ecl,protein,o00585,nan,nan,nan,nan,nan,kit,protein,p10721,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7985479'],['nan'],1,0.1,40,1,40.1
415,elongation factor 2,protein,p13639,nan,nan,nan,nan,nan,adp,protein,q8n5d0,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7947882'],['nan'],1,0.1,40,1,40.1
417,ephb4,protein,p54760,nan,nan,nan,nan,nan,ephrin b2,protein,p52799,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7985479'],['nan'],1,0.1,40,1,40.1
418,eps8,protein,q12929,nan,nan,nan,nan,nan,proliferation,biological process,go:0008283,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7279007'],['nan'],1,0.1,40,1,40.1
421,erythropoietin,protein,p01588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cd40,protein,p25942,nan,nan,i,['nan'],['nan'],['pmc9226391'],['nan'],1,0.1,40,1,40.1
404,dna repair,biological process,go:0006281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cgas,protein,q8n884,nan,nan,i,['nan'],['nan'],['pmc9062427'],['nan'],1,0.1,40,1,40.1
422,fas,protein,p25445,nan,nan,nan,nan,nan,afp,protein,p02771,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8296838'],['nan'],1,0.1,40,1,40.1
425,fasl,protein,p48023,nan,nan,nan,nan,nan,cd40,protein,p25942,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc10185706'],['nan'],1,0.1,40,1,40.1
426,fasl,protein,p48023,nan,nan,nan,nan,nan,gal-9,protein,o00182,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8391477'],['nan'],1,0.1,40,1,40.1
427,figure 4b,protein,p01579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cd22,protein,p20273,nan,nan,i,['nan'],['nan'],['pmc5774642'],['nan'],1,0.1,40,1,40.1
428,flt,protein,p17948,nan,nan,nan,nan,nan,flt3,protein,p36888,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8896098'],['nan'],1,0.1,40,1,40.1
439,fpp synthase,protein,p14324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zol,chemical,68740,nan,nan,i,['nan'],['nan'],['pmc8396358'],['nan'],1,0.1,40,1,40.1
444,gitr,protein,q9y5u5,nan,nan,nan,nan,nan,4-1bb,protein,q07011,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9939256'],['nan'],1,0.1,40,1,40.1
446,gitr,protein,q9y5u5,nan,nan,nan,nan,nan,ox40,protein,p43489,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9939256'],['nan'],1,0.1,40,1,40.1
405,dnam-1,protein,q15762,nan,nan,nan,nan,nan,il-15,protein,p40933,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6343266'],['nan'],1,0.1,40,1,40.1
408,dnam-1,protein,q15762,nan,nan,nan,nan,nan,il7,protein,p13232,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9599140'],['nan'],1,0.1,40,1,40.1
403,dna demethylation,biological process,go:0080111,nan,nan,nan,nan,nan,tet2,protein,q6n021,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8593824'],['nan'],1,0.1,40,1,40.1
397,dcr,protein,q7z4w1,nan,nan,nan,nan,nan,tace,protein,p78536,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7563532'],['nan'],1,0.1,40,1,40.1
386,cxcr2,protein,p25025,nan,nan,nan,nan,nan,car,protein,p36575,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8865283'],['nan'],1,0.1,40,1,40.1
387,cxcr4,protein,p61073,nan,nan,nan,nan,nan,car,protein,p36575,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8865283'],['nan'],1,0.1,40,1,40.1
388,cxcr4,protein,p61073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,epcam,protein,p16422,nan,nan,i,['nan'],['nan'],['pmc9043864'],['nan'],1,0.1,40,1,40.1
389,cxcr5,protein,p32302,nan,nan,nan,nan,nan,car,protein,p36575,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9793449'],['nan'],1,0.1,40,1,40.1
391,cxcr6,protein,o00574,nan,nan,nan,nan,nan,cd26,protein,p27487,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7458458'],['nan'],1,0.1,40,1,40.1
392,cytolysis,biological process,go:0019835,nan,nan,nan,nan,nan,granzyme b,protein,p10144,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7973425'],['nan'],1,0.1,40,1,40.1
394,dap10,protein,q9ubk5,nan,nan,nan,nan,nan,src,other,uaz537263,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5465249'],['nan'],1,0.1,40,1,40.1
402,dll4,protein,q9nr61,nan,nan,nan,nan,nan,vegfa,protein,p15692,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6984804'],['nan'],1,0.1,40,1,40.1
481,hla-e,protein,p13747,nan,nan,nan,nan,nan,ifn-gamma,protein,p01579,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8227123'],['nan'],1,0.1,40,1,40.1
